,numero_national_de_structure,libelle,sigle,annee_de_creation,type_de_structure,code_de_type_de_structure,code_de_niveau_de_structure,site_web,adresse,code_postal,commune,nom_du_responsable,prenom_du_responsable,titre_du_responsable,label_numero,tutelles,sigles_des_tutelles,code_de_nature_de_tutelle,nature_de_tutelle,uai_des_tutelles,siret_des_tutelles,code_de_type_de_tutelle,type_de_tutelle,numero_de_structure_enfant,numero_de_structure_parent,numero_de_structure_historique,type_de_succession,code_de_type_de_succession,annee_d_effet_historique,code_domaine_scientifique,domaine_scientifique,code_panel_erc,panel_erc,fiche_rnsr,grid
757,201823877E,CAtalyse et Synthèse Eco-COmpatble,CASECO,2018,Equipe interne,1,1,http://uccs.univ-lille1.fr,Bat C3 - Cité Scientifique,59650,Villeneuve d'Ascq,PELINSKI,Lydie,,;;;,Centrale Lille Institut;Université Artois;Centre national de la recherche scientifique;Université de Lille,CLI;ARTOIS;CNRS;LILLE,AUT_ETAB;UNIV;EPST;UNIV,Autres établissements ESR;Université;Organismes de type EPST;Université,0597139P;0623957P;0753639Y;0597065J,19590349700012;19624401600016;18008901303720;13002358300011,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,200612828X,,,,,4,Chimie,PE5,"Synthetic Chemistry and Materials : New materials and new synthetic approaches, structure-properties relations, solid state chemistry, molecular architecture, organic chemistry",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201823877E&PUBLIC=OK,
758,199223924U,PUISSANCE Microwave Power Devices,,1992,Equipe interne,1,1,https://www.iemn.fr/la-recherche/les-groupes/groupe-puissance,IEMN LCI - Avenue Poincaré - CS 60069,59650,Villeneuve d'Ascq,GAQUIERE,Christophe,DIR,;;;;,Centrale Lille Institut;Centre national de la recherche scientifique;Université de Lille;Université Polytechnique Hauts de France;JUNIA - Grande école d'ingénieur de LILLE,CLI;CNRS;LILLE;UPHF;JUNIA,AUT_ETAB;EPST;UNIV;UNIV;AUT_ETAB,Autres établissements ESR;Organismes de type EPST;Université;Université;Autres établissements ESR,0597139P;0753639Y;0597065J;0597132G;0597165T,19590349700012;18008901303720;13002358300011;13002574500014;78370700300035,TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,199812849E,,,,,8,Sciences pour l'ingénieur,PE7,"Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199223924U&PUBLIC=OK,
760,202023941R,Géosciences du Littoral,,2020,Equipe interne,1,1,https://www.log.cnrs.fr/,Université de Lille - Cité Scientifique - Bâtiment SN5,59655,Villeneuve d'Ascq,REYNAUD,Jean Yves,,;;;,Université Littoral-Côte d'Opale;Centre national de la recherche scientifique;Université de Lille;Institut de recherche pour le developpement,LITTORAL;CNRS;LILLE;IRD,UNIV;EPST;UNIV;EPST,Université;Organismes de type EPST;Université;Organismes de type EPST,0595964M;0753639Y;0597065J;0133973Y,19594403800205;18008901303720;13002358300011;18000602500159,TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,,200812834V,,,,,3,"Sciences de la terre et de l'univers, espace",PE10,"Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023941R&PUBLIC=OK,
765,201524038T,"Forme, Sens et Contexte",,2015,Equipe interne,1,1,https://stl.univ-lille.fr/recherche/projet-scientifique-stl/2020-2025/forme-sens-contexte/,,,,CANUT,Emmanuelle,,;,Centre national de la recherche scientifique;Université de Lille,CNRS;LILLE,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0597065J,18008901303720;13002358300011,TUTE;TUTE,établissement tutelle;établissement tutelle,,200612815H,,,,,6,Sciences humaines et humanités,SH4,"The Human Mind and Its Complexity : Cognitive science, psychology, linguistics, theoretical philosophy",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201524038T&PUBLIC=OK,
768,202023845L,"Sénescence, fibrose et cancer",,2020,Equipe interne,1,1,http://www.canther.fr,"Institut de Biologie de Lille / Institut Pasteur de Lille, 1 Rue Pr Calmette",59000,LILLE,ABBADIE,Corinne,,;;;;,Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Institut Pasteur;Université de Lille;Centre Hospitalier Universitaire de Lille,CNRS;INSERM;INSTITUT PASTEUR;LILLE;CHUL,EPST;EPST;FONDATION;UNIV;MEDIC,"Organismes de type EPST;Organismes de type EPST;Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);Université;Etablissements de santé",0753639Y;0755364Y;0755366A;0597065J;,18008901303720;18003604800015;77568489700017;13002358300011;26590671900017,TUTE;TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,,202023551S,,,,,5,"Biologie, médecine et santé",LS4,"Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases))",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023845L&PUBLIC=OK,
771,201922960D,Centre de RMN à Très Hauts Champs de Lyon,CRMN,2019,Unité mixte,22,2,https://www.crmn-lyon.fr/,5 rue de la Doua - bâtiment CRMN,69100,VILLEURBANNE,JANNIN;PINTACUDA,Sami;Guido,Directeur adjoint;Directeur,UMR 5082;UMR 5082;,Université Claude Bernard Lyon 1;Centre national de la recherche scientifique;Ecole Normale Supérieure de Lyon,LYON 1;CNRS;ENS LYON,UNIV;EPST;AUT_ETAB,Université;Organismes de type EPST;Autres établissements ESR,0691774D;0753639Y;0694123G,19691774400019;18008901303720;13000812100019,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,4,Chimie,LS1;PE4,"Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201922960D&PUBLIC=OK,
775,200612558D,Mécanismes adaptatifs et Evolution,MECADEV,2006,Unité mixte,22,2,http://www.mecadev.cnrs.fr,1-4 Avenue du petit Château,91800,BRUNOY,FORGET;AUJARD;ABOURACHID,Pierre-Michel;Fabienne;Anick,DIR-ADJ;Directrice;Directrice-adjointe,UMR 7179;UMR 7179,Muséum National d'Histoire Naturelle Paris;Centre national de la recherche scientifique,MUSEUM PARIS;CNRS,AUT_ETAB;EPST,Autres établissements ESR;Organismes de type EPST,0753494R;0753639Y,18004417400019;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,,200311848V;200317315M,fusion;fusion,F;F,2006;2006,3;5;10,"Sciences de la terre et de l'univers, espace;Biologie, médecine et santé;Sciences agronomiques et écologiques",LS9,"Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200612558D&PUBLIC=OK,grid.464161.0
776,199911701C,Laboratoire Ampère,Ampère,1999,Unité mixte,22,2,http://www.ampere-lab.fr,36 avenue Guy de Collongue,69134,ECULLY CEDEX,VOLLAIRE,Christian,PU ECL,UMR 5005;UMR 5005;UMR 5005;UMR 5005,Ecole Centrale de Lyon;Institut National des Sciences Appliquées Lyon;Université Claude Bernard Lyon 1;Centre national de la recherche scientifique,EC. CENTRALE LYON;INSA LYON;LYON 1;CNRS,AUT_ETAB;AUT_ETAB;UNIV;EPST,Autres établissements ESR;Autres établissements ESR;Université;Organismes de type EPST,0690187D;0690192J;0691774D;0753639Y,19690187000010;19690192000013;19691774400019;18008901303720,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,8;9;10,Sciences pour l'ingénieur;Sciences et technologies de l'information et de la communication;Sciences agronomiques et écologiques,PE7;LS9,"Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering;Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911701C&PUBLIC=OK,grid.498477.1
777,202124119E,Analyse symbolique et conception orientée composants pour des systèmes embarqués temps-réel modulaires,SYCOMORES,2021,Unité propre,21,2,https://www.inria.fr/fr/sycomores,,59650,Villeneuve d'Ascq,LIPARI,Giuseppe,,;,Centre national de la recherche scientifique;Institut national de la recherche en informatique et automatique,CNRS;INRIA,EPST;EPST,Organismes de type EPST;Organismes de type EPST,0753639Y;0780491K,18008901303720;18008904700013,TUTE;TUTE,établissement tutelle;établissement tutelle,,200818245B;201521249L,,,,,9,Sciences et technologies de l'information et de la communication,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202124119E&PUBLIC=OK,
778,200918463J,Institut des Systèmes Intelligents et de Robotique,ISIR,2009,Unité mixte,22,2,http://www.isir.upmc.fr/,4 PLACE JUSSIEU - BC173,75252,PARIS CEDEX 05,MOREL,Guillaume,DIR,UMR 7222;UMR 7222;,Centre national de la recherche scientifique;Sorbonne Université;Institut national de la sante et de la recherche medicale,CNRS;SORBONNE UNIV.;INSERM,EPST;UNIV;EPST,Organismes de type EPST;Université;Organismes de type EPST,0753639Y;0755890V;0755364Y,18008901303720;13002338500011;18003604800015,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,201424025H,,,,,,8,Sciences pour l'ingénieur,PE8,"Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200918463J&PUBLIC=OK,grid.462015.4
779,201220415T,"Laboratoire Interdisciplinaire de Recherches ""Sociétés, Sensibilités, Soin"" - UMR 7366",LIR3S,1995,Unité mixte,22,2,http://tristan.u-bourgogne.fr/CGC,4 Boulevard Gabriel,21072,DIJON CEDEX,CHAMBARLHAC;TORNATORE,Vincent;Jean Louis,Directeur;Directeur Adjoint,UMR 7366;UMR 7366,Université Bourgogne Dijon;Centre national de la recherche scientifique,DIJON;CNRS,UNIV;EPST,Université;Organismes de type EPST,0211237F;0753639Y,19211237300019;18008901303720,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,6;7,Sciences humaines et humanités;Sciences de la société,SH5;SH6;SH2,"Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy;The Study of the Human Past : Archaeology and history;Institutions, Governance and Legal Systems : Political science, international relations, law",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220415T&PUBLIC=OK,
785,202224173J,"Archéosciences-Bordeaux : Matériaux, temps, Images et Sociétés",,2022,Unité mixte,22,2,,UNIV BORDEAUX MONTAIGNE - CRP2A-Maison de l'Archéologie Esplanade des Antilles,33607,PESSAC CEDEX,LAHAYE,Christelle,DIR,;UMR 6034;,Université Bordeaux Montaigne;Centre national de la recherche scientifique;Université de Bordeaux,BORDEAUX 3;CNRS;BORDEAUX,UNIV;EPST;UNIV,Université;Organismes de type EPST;Université,0331766R;0753639Y;0333298F,19331766600017;18008901303720;13001835100010,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,,199911751G;201420654U,éclatement - fusion;éclatement - fusion,EF;EF,2022;2022,6,Sciences humaines et humanités,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202224173J&PUBLIC=OK,
786,202224191D,Biologie et génétique du cancer,,2022,Unité mixte,22,2,,Université de Rennes 1 -Campus santé -2 av du Pr Léon Bernard,35043,Rennes,GILLET;DUPÉ,Reynald;Valérie,DIR;directrice-adjointe,ERL 1305;;,Université Rennes 1;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale,RENNES 1;CNRS;INSERM,UNIV;EPST;EPST,Université;Organismes de type EPST;Organismes de type EPST,0350936C;0753639Y;0755364Y,19350936100013;18008901303720;18003604800015,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,,,201220436R,essaimage,S,2022,5,"Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202224191D&PUBLIC=OK,
788,202124072D,•	Intelligence artificielle et algorithmes efficaces pour la robotique autonome,ACENTAURI,2021,Unité propre,21,2,https://www.inria.fr/fr/acentauri,,06902,Sophia Antipolis,Malis,Ezio,,;,Centre national de la recherche scientifique;Institut national de la recherche en informatique et automatique,CNRS;INRIA,EPST;EPST,Organismes de type EPST;Organismes de type EPST,0753639Y;0780491K,18008901303720;18008904700013,TUTE;TUTE,établissement tutelle;établissement tutelle,,201220432L;198318250R,,,,,9,Sciences et technologies de l'information et de la communication,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202124072D&PUBLIC=OK,
790,201822731J,Laboratoir de Physique et Chimie Théoriques,LPCT,2018,Unité mixte,22,2,http://lpct.univ-lorraine.fr,Université de Lorraine - Faculté des Sciences et Technologies - Boulevard des Aiguillettes,54500,VANDOEUVRE LES NANCY,DEHEZ;KAREVSKI,François;Dragi,dir-adj;DIR,UMR 7019;UMR 7019 7019,Centre national de la recherche scientifique;Université de Lorraine,CNRS;LORRAINE,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0542493S,18008901303720;13001550600012,TUTE;TUTE,établissement tutelle;établissement tutelle,,,199712611A,éclatement,E,2018,,,PE4,"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822731J&PUBLIC=OK,
793,201119381Y,"LABORATOIRE DE RECHERCHE EN CARDIOVASCULAIRE, METABOLISME, DIABETOLOGIE ET NUTRITION",CARMEN,2011,Unité mixte,22,2,http://carmen.univ-lyon1.fr,"HOPITAL LYON SUD SECTEUR 2, 165 CHEMIN DU GRAND REVOYET",69495,PIERRE BENITE cedex,VIDAL,Hubert,DIR,U 1060;U 1060;UMR 1397;UM 92;;UM 92,"Université Claude Bernard Lyon 1;Institut national de la sante et de la recherche medicale;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;Hospices Civils de Lyon;VetAgro Sup;Centre national de la recherche scientifique",LYON 1;INSERM;INRAE;HCL - CHU LYON;VETAGRO SUP;CNRS,UNIV;EPST;EPST;MEDIC;AUT_ETAB;EPST,Université;Organismes de type EPST;Organismes de type EPST;Etablissements de santé;Autres établissements ESR;Organismes de type EPST,0691774D;0755364Y;;0693209N;0690193K;0753639Y,19691774400019;18003604800015;18007003901803;26690027300019;13000858400018;18008901303720,TUTE;TUTE;TUTE;TUTE;PART;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant,201120997E,201119838V,,,,,5;10,"Biologie, médecine et santé;Sciences agronomiques et écologiques",LS4,"Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases))",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201119381Y&PUBLIC=OK,grid.503348.9
794,202224195H,Bordeaux Sciences Economiques,BSE,2022,Unité mixte,22,2,,Université de Bordeaux - Avenue Léon Duguit,33608,PESSAC CEDEX,CARDEBAT;BERNARD,Jean-Marie;Tanguy,Directeur adjoint;DIR,UMR 6060;UMR 6060;USC 1441,"Centre national de la recherche scientifique;Université de Bordeaux;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement",CNRS;BORDEAUX;INRAE,EPST;UNIV;EPST,Organismes de type EPST;Université;Organismes de type EPST,0753639Y;0333298F;,18008901303720;13001835100010;18007003901803,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,,199911798H;199914274Z,fusion;fusion,F;F,2022;2022,7,Sciences de la société,SH1,"Individuals, Markets and Organisations : Economics, finance, management",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202224195H&PUBLIC=OK,
795,201019183M,Institut de recherche sur les composants logiciels et matériels pour l'information et la communication avancée,IRCICA,2010,Unité mixte,22,2,http://www.ircica.univ-lille1.fr/,50 avenue Halley,59658,VILLENEUVE D ASCQ CEDEX,ROLLAND,Nathalie,DIR,UAR 3380;USR 3380,Centre national de la recherche scientifique;Université de Lille,CNRS;LILLE,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0597065J,18008901303720;13002358300011,TUTE;TUTE,établissement tutelle;établissement tutelle,,,,,,,2;8;9,Physique;Sciences pour l'ingénieur;Sciences et technologies de l'information et de la communication,PE7;PE4;PE6,"Systems and communication engineering : Electrical, electronic, communication, optical and systems engineering;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201019183M&PUBLIC=OK,
799,201922945M,LABORATOIRE D'ECONOMIE DE DAUPHINE,LEDA,2019,Unité mixte,22,2,http://leda.dauphine.fr/,UNIVERSITE PARIS DAUPHINE Place du Mal. de Lattre de Tassi,75775,PARIS CEDEX 16,DE VREYER,Philippe,Directeur,UMR 8007;UMR 8007;;UMR 8007,Université Paris Dauphine;Centre national de la recherche scientifique;Institut de recherche pour le developpement;Université Paris sciences et lettres,PARIS-DAUPHINE;CNRS;IRD;PSL,UNIV;EPST;EPST;UNIV,Université;Organismes de type EPST;Organismes de type EPST;Université,0750736T;0753639Y;0133973Y;0756036D,19754692200018;18008901303720;18000602500159;13002614900018,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,7,Sciences de la société,SH1,"Individuals, Markets and Organisations : Economics, finance, management",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201922945M&PUBLIC=OK,grid.464191.f
800,201922968M,Centre d'étude des mouvements sociaux,CEMS,2019,Unité mixte,22,2,,ECOLE DES HAUTES ÉTUDES EN SCIENCES SOCIALES 54 bd Raspail,75006,PARIS,CEFAI;VILLE;CHIAPELLO,Daniel;Isabelle;Eve,DIR-ADJ;directrice adjointe;DIRECTRICE,;UMR 8044;,Ecole des Hautes Etudes en Sciences Sociales Paris;Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale,EHESS PARIS;CNRS;INSERM,AUT_ETAB;EPST;EPST,Autres établissements ESR;Organismes de type EPST;Organismes de type EPST,0753742K;0753639Y;0755364Y,19753742600011;18008901303720;18003604800015,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,,200612825U,éclatement,E,2019,6,Sciences humaines et humanités,SH2,"Institutions, Governance and Legal Systems : Political science, international relations, law",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201922968M&PUBLIC=OK,
804,201220470C,"Fédération de Recherche Comportement, Cerveau, Cognition - Fédération 3C",,2012,Structures Fédératives de Recherche,3,3,http://www.federation3c.com/,3 Place Victor Hugo,13331,MARSEILLE CEDEX 03,SAVE;ALARIO,Etienne;Xavier,DIR;DIR Adj,FR 3512;,Centre national de la recherche scientifique;Université Aix-Marseille,CNRS;AIX-MARSEILLE,EPST;UNIV,Organismes de type EPST;Université,0753639Y;0134009M,18008901303720;13001533200013,TUTE;TUTE,établissement tutelle;établissement tutelle,201220328Y;201220268H;201220267G,,,,,,5,"Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220470C&PUBLIC=OK,
807,202023498J,Energie et Environnement,FREE,2020,Structures Fédératives de Recherche,3,3,,UNIV PERPIGNAN VIA DOMITIA-Bâtiment R 52 avenue Paul Alduy,66860,PERPIGNAN CEDEX 9,MITTA,Guillaume,DIR,;;;FR 2043;;,Université Paul Valéry Montpellier 3;Université Perpignan via Domitia;Ecole Pratique des Hautes Etudes Paris;Centre national de la recherche scientifique;Institut Francais de Recherche pour l'Exploitation de la Mer;Université Paris sciences et lettres,MONTPELLIER 3;PERPIGNAN;EPHE PARIS;CNRS;IFREMER;PSL,UNIV;UNIV;AUT_ETAB;EPST;EPIC;UNIV,Université;Université;Autres établissements ESR;Organismes de type EPST;Organismes de type EPIC;Université,0341089Z;0660437S;0753486G;0753639Y;0922262J;0756036D,19341089100017;19660437500010;19753486000105;18008901303720;33071536800032;13002614900018,TUTE;TUTE;TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,,,,,,10,Sciences agronomiques et écologiques,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023498J&PUBLIC=OK,
808,202023505S,Biomimetism and Regenerative Medicine,BRM,2020,Unité mixte,22,2,,CEA-Bât C3 17 rue des Martyrs,38054,GRENOBLE CEDEX 9,PICART,Catherine,DIR,EMR 5000;;;,Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Commissariat à l'énergie atomique et aux énergies alternatives;Université Grenoble Alpes,CNRS;INSERM;CEA;GRENOBLE ALPES,EPST;EPST;EPIC;UNIV,Organismes de type EPST;Organismes de type EPST;Organismes de type EPIC;Université,0753639Y;0755364Y;0912281K;0383546Y,18008901303720;18003604800015;77568501900587;13002608100013,TUTE;TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle,,202124018V,,,,,4,Chimie,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023505S&PUBLIC=OK,
809,201822733L,Ingénierie-Biologie-Santé Lorraine,IBSLor,2018,Structures Fédératives de Recherche,3,3,http://umsibslor.univ-lorraine.fr/,Université de Lorraine - Faculté de Médecine - 9 avenue de la Forêt de Haye - CS 50184,54505,VANDOEUVRE LES NANCY,MOTORINE;LACOLLEY,Iourii;Patrick,DIR;DIR-ADJ,UAR 2008;US 40;UMS 2008,Centre national de la recherche scientifique;Institut national de la sante et de la recherche medicale;Université de Lorraine,CNRS;INSERM;LORRAINE,EPST;EPST;UNIV,Organismes de type EPST;Organismes de type EPST;Université,0753639Y;0755364Y;0542493S,18008901303720;18003604800015;13001550600012,TUTE;TUTE;TUTE,établissement tutelle;établissement tutelle;établissement tutelle,201320578R;200919208U;200919207T,,200919859B,renouvellement,R,2018,5,"Biologie, médecine et santé",LS4;LS7;LS3;LS2;LS1,"Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases));Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches;Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling",https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822733L&PUBLIC=OK,
811,200919226N,Laboratoire des biomolécules,LBM,2009,Unité mixte,22,2,http://www1.chimie.ens.fr/LBM/,4 Place Jussieu,75252,PARIS CEDEX 05,LEQUIN,Olivier,Directeur,UMR 7203;UMR 7203;UMR 7203;UMR 7203;UMR 7203,Ecole Normale Supérieure Paris;Centre national de la recherche scientifique;Sorbonne Université;Université Paris sciences et lettres;Institut national de la sante et de la recherche medicale,ENS PARIS;CNRS;SORBONNE UNIV.;PSL;INSERM,AUT_ETAB;EPST;UNIV;UNIV;EPST,Autres établissements ESR;Organismes de type EPST;Université;Université;Organismes de type EPST,0753455Y;0753639Y;0755890V;0756036D;0755364Y,19753459700012;18008901303720;13002338500011;13002614900018;18003604800015,TUTE;TUTE;TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant,200919226N,202224175L;201420855M;200919226N;200510681T,,,,,4,Chimie,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200919226N&PUBLIC=OK,grid.463975.a
818,201822747B,CNRS ERL - Niche Leucémique et métabolisme redOx,LNOx,2018,Unité mixte,22,2,http://gicc.cnrs.univ-tours.fr,"UNIVERSITE DE TOURS, UFR Médecine (Vialle/Dutrochet), 10 Boulevard Tonnellé, BP 3223",37032,TOURS CEDEX 1,THIBAULT,Gilles,DIR,;EMR 7001;,Université de Tours;Centre national de la recherche scientifique;Centre Hospitalier Universitaire de Tours,TOURS;CNRS;CHRU TOURS,UNIV;EPST;MEDIC,Université;Organismes de type EPST;Etablissements de santé,0370800U;0753639Y;,19370800500478;18008901303720;26370018900016,TUTE;TUTE;PART,établissement tutelle;établissement tutelle;établissement participant,,201220248L,,,,,5,"Biologie, médecine et santé",,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822747B&PUBLIC=OK,
819,201822833V,"Epigenetics, Data, Politics",EpiDaPo,2018,Unité mixte internationale,23,2,https://smhs.gwu.edu/epidapo,"GEORGE WASHINGTON UNIVERSITY, DC 200052, 2300 Eye Street",,"NW, Washington",DUBOIS;VILAIN,Michel;Eric,DIR-ADJ;DIR,IRL 2006;,Centre national de la recherche scientifique;George Washington University,CNRS;GW,EPST;UNIV_ETR,Organismes de type EPST;Université étrangère,0753639Y;,18008901303720;,TUTE;TUTE,établissement tutelle;établissement tutelle,,,201420853K,renouvellement,R,2018,6,Sciences humaines et humanités,,,https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822833V&PUBLIC=OK,
